sub_path,target_image
../../../../Datasets/images/preprocessed_image\nothing\nothing69.jpg,26.0
../../../../Datasets/images/preprocessed_image\V\V774.jpg,21.0
../../../../Datasets/images/preprocessed_image\N\N446.jpg,13.0
../../../../Datasets/images/preprocessed_image\Z\Z943.jpg,25.0
../../../../Datasets/images/preprocessed_image\F\F557.jpg,5.0
../../../../Datasets/images/preprocessed_image\K\K696.jpg,10.0
../../../../Datasets/images/preprocessed_image\P\P170.jpg,15.0
../../../../Datasets/images/preprocessed_image\F\F447.jpg,5.0
../../../../Datasets/images/preprocessed_image\U\U295.jpg,20.0
../../../../Datasets/images/preprocessed_image\K\K182.jpg,10.0
../../../../Datasets/images/preprocessed_image\W\W301.jpg,22.0
../../../../Datasets/images/preprocessed_image\V\V850.jpg,21.0
../../../../Datasets/images/preprocessed_image\nothing\nothing29.jpg,26.0
../../../../Datasets/images/preprocessed_image\O\O875.jpg,14.0
../../../../Datasets/images/preprocessed_image\P\P524.jpg,15.0
../../../../Datasets/images/preprocessed_image\H\H643.jpg,7.0
../../../../Datasets/images/preprocessed_image\Z\Z559.jpg,25.0
../../../../Datasets/images/preprocessed_image\H\H888.jpg,7.0
../../../../Datasets/images/preprocessed_image\U\U737.jpg,20.0
../../../../Datasets/images/preprocessed_image\K\K286.jpg,10.0
../../../../Datasets/images/preprocessed_image\D\D792.jpg,3.0
../../../../Datasets/images/preprocessed_image\J\J602.jpg,9.0
../../../../Datasets/images/preprocessed_image\A\A18.jpg,0.0
../../../../Datasets/images/preprocessed_image\J\J275.jpg,9.0
../../../../Datasets/images/preprocessed_image\D\D729.jpg,3.0
../../../../Datasets/images/preprocessed_image\K\K225.jpg,10.0
../../../../Datasets/images/preprocessed_image\F\F901.jpg,5.0
../../../../Datasets/images/preprocessed_image\F\F993.jpg,5.0
../../../../Datasets/images/preprocessed_image\M\M14.jpg,12.0
../../../../Datasets/images/preprocessed_image\X\X788.jpg,23.0
../../../../Datasets/images/preprocessed_image\P\P422.jpg,15.0
../../../../Datasets/images/preprocessed_image\N\N610.jpg,13.0
../../../../Datasets/images/preprocessed_image\A\A416.jpg,0.0
../../../../Datasets/images/preprocessed_image\G\G455.jpg,6.0
../../../../Datasets/images/preprocessed_image\K\K608.jpg,10.0
../../../../Datasets/images/preprocessed_image\M\M462.jpg,12.0
../../../../Datasets/images/preprocessed_image\nothing\nothing782.jpg,26.0
../../../../Datasets/images/preprocessed_image\D\D968.jpg,3.0
../../../../Datasets/images/preprocessed_image\H\H525.jpg,7.0
../../../../Datasets/images/preprocessed_image\D\D213.jpg,3.0
../../../../Datasets/images/preprocessed_image\D\D902.jpg,3.0
../../../../Datasets/images/preprocessed_image\Q\Q29.jpg,16.0
../../../../Datasets/images/preprocessed_image\O\O810.jpg,14.0
../../../../Datasets/images/preprocessed_image\X\X63.jpg,23.0
../../../../Datasets/images/preprocessed_image\F\F338.jpg,5.0
../../../../Datasets/images/preprocessed_image\T\T726.jpg,19.0
../../../../Datasets/images/preprocessed_image\J\J654.jpg,9.0
../../../../Datasets/images/preprocessed_image\I\I485.jpg,8.0
../../../../Datasets/images/preprocessed_image\O\O386.jpg,14.0
../../../../Datasets/images/preprocessed_image\A\A226.jpg,0.0
../../../../Datasets/images/preprocessed_image\B\B820.jpg,1.0
../../../../Datasets/images/preprocessed_image\G\G703.jpg,6.0
../../../../Datasets/images/preprocessed_image\E\E157.jpg,4.0
../../../../Datasets/images/preprocessed_image\Z\Z369.jpg,25.0
../../../../Datasets/images/preprocessed_image\Y\Y185.jpg,24.0
../../../../Datasets/images/preprocessed_image\L\L61.jpg,11.0
../../../../Datasets/images/preprocessed_image\R\R805.jpg,17.0
../../../../Datasets/images/preprocessed_image\R\R798.jpg,17.0
../../../../Datasets/images/preprocessed_image\H\H319.jpg,7.0
../../../../Datasets/images/preprocessed_image\Z\Z19.jpg,25.0
../../../../Datasets/images/preprocessed_image\Q\Q443.jpg,16.0
../../../../Datasets/images/preprocessed_image\Q\Q859.jpg,16.0
../../../../Datasets/images/preprocessed_image\R\R416.jpg,17.0
../../../../Datasets/images/preprocessed_image\G\G104.jpg,6.0
../../../../Datasets/images/preprocessed_image\M\M213.jpg,12.0
../../../../Datasets/images/preprocessed_image\Z\Z994.jpg,25.0
../../../../Datasets/images/preprocessed_image\N\N512.jpg,13.0
../../../../Datasets/images/preprocessed_image\N\N667.jpg,13.0
../../../../Datasets/images/preprocessed_image\W\W307.jpg,22.0
../../../../Datasets/images/preprocessed_image\U\U330.jpg,20.0
../../../../Datasets/images/preprocessed_image\Z\Z564.jpg,25.0
../../../../Datasets/images/preprocessed_image\K\K490.jpg,10.0
../../../../Datasets/images/preprocessed_image\G\G965.jpg,6.0
../../../../Datasets/images/preprocessed_image\E\E59.jpg,4.0
../../../../Datasets/images/preprocessed_image\X\X865.jpg,23.0
../../../../Datasets/images/preprocessed_image\I\I655.jpg,8.0
../../../../Datasets/images/preprocessed_image\Z\Z953.jpg,25.0
../../../../Datasets/images/preprocessed_image\O\O303.jpg,14.0
../../../../Datasets/images/preprocessed_image\J\J350.jpg,9.0
../../../../Datasets/images/preprocessed_image\Y\Y722.jpg,24.0
../../../../Datasets/images/preprocessed_image\N\N248.jpg,13.0
../../../../Datasets/images/preprocessed_image\M\M722.jpg,12.0
../../../../Datasets/images/preprocessed_image\N\N660.jpg,13.0
../../../../Datasets/images/preprocessed_image\H\H721.jpg,7.0
../../../../Datasets/images/preprocessed_image\R\R302.jpg,17.0
../../../../Datasets/images/preprocessed_image\T\T705.jpg,19.0
../../../../Datasets/images/preprocessed_image\A\A452.jpg,0.0
../../../../Datasets/images/preprocessed_image\Z\Z461.jpg,25.0
../../../../Datasets/images/preprocessed_image\Z\Z589.jpg,25.0
../../../../Datasets/images/preprocessed_image\O\O800.jpg,14.0
../../../../Datasets/images/preprocessed_image\F\F579.jpg,5.0
../../../../Datasets/images/preprocessed_image\F\F104.jpg,5.0
../../../../Datasets/images/preprocessed_image\F\F929.jpg,5.0
../../../../Datasets/images/preprocessed_image\H\H828.jpg,7.0
../../../../Datasets/images/preprocessed_image\M\M946.jpg,12.0
../../../../Datasets/images/preprocessed_image\C\C222.jpg,2.0
../../../../Datasets/images/preprocessed_image\E\E788.jpg,4.0
../../../../Datasets/images/preprocessed_image\U\U428.jpg,20.0
../../../../Datasets/images/preprocessed_image\W\W799.jpg,22.0
../../../../Datasets/images/preprocessed_image\M\M228.jpg,12.0
../../../../Datasets/images/preprocessed_image\Y\Y734.jpg,24.0
../../../../Datasets/images/preprocessed_image\A\A153.jpg,0.0
../../../../Datasets/images/preprocessed_image\L\L348.jpg,11.0
../../../../Datasets/images/preprocessed_image\G\G351.jpg,6.0
../../../../Datasets/images/preprocessed_image\W\W954.jpg,22.0
../../../../Datasets/images/preprocessed_image\U\U783.jpg,20.0
../../../../Datasets/images/preprocessed_image\G\G672.jpg,6.0
../../../../Datasets/images/preprocessed_image\M\M599.jpg,12.0
../../../../Datasets/images/preprocessed_image\U\U653.jpg,20.0
../../../../Datasets/images/preprocessed_image\N\N763.jpg,13.0
../../../../Datasets/images/preprocessed_image\nothing\nothing541.jpg,26.0
../../../../Datasets/images/preprocessed_image\O\O148.jpg,14.0
../../../../Datasets/images/preprocessed_image\A\A193.jpg,0.0
../../../../Datasets/images/preprocessed_image\Q\Q410.jpg,16.0
../../../../Datasets/images/preprocessed_image\X\X397.jpg,23.0
../../../../Datasets/images/preprocessed_image\D\D376.jpg,3.0
../../../../Datasets/images/preprocessed_image\D\D88.jpg,3.0
../../../../Datasets/images/preprocessed_image\V\V332.jpg,21.0
../../../../Datasets/images/preprocessed_image\I\I502.jpg,8.0
../../../../Datasets/images/preprocessed_image\M\M392.jpg,12.0
../../../../Datasets/images/preprocessed_image\F\F112.jpg,5.0
../../../../Datasets/images/preprocessed_image\Z\Z277.jpg,25.0
../../../../Datasets/images/preprocessed_image\T\T238.jpg,19.0
../../../../Datasets/images/preprocessed_image\C\C110.jpg,2.0
../../../../Datasets/images/preprocessed_image\nothing\nothing705.jpg,26.0
../../../../Datasets/images/preprocessed_image\I\I475.jpg,8.0
../../../../Datasets/images/preprocessed_image\S\S616.jpg,18.0
../../../../Datasets/images/preprocessed_image\S\S315.jpg,18.0
../../../../Datasets/images/preprocessed_image\nothing\nothing98.jpg,26.0
../../../../Datasets/images/preprocessed_image\L\L914.jpg,11.0
../../../../Datasets/images/preprocessed_image\C\C315.jpg,2.0
../../../../Datasets/images/preprocessed_image\nothing\nothing794.jpg,26.0
../../../../Datasets/images/preprocessed_image\K\K670.jpg,10.0
../../../../Datasets/images/preprocessed_image\A\A832.jpg,0.0
../../../../Datasets/images/preprocessed_image\Z\Z910.jpg,25.0
../../../../Datasets/images/preprocessed_image\H\H367.jpg,7.0
../../../../Datasets/images/preprocessed_image\O\O402.jpg,14.0
../../../../Datasets/images/preprocessed_image\Z\Z411.jpg,25.0
../../../../Datasets/images/preprocessed_image\M\M475.jpg,12.0
../../../../Datasets/images/preprocessed_image\R\R916.jpg,17.0
../../../../Datasets/images/preprocessed_image\B\B836.jpg,1.0
../../../../Datasets/images/preprocessed_image\S\S114.jpg,18.0
../../../../Datasets/images/preprocessed_image\A\A251.jpg,0.0
../../../../Datasets/images/preprocessed_image\E\E831.jpg,4.0
../../../../Datasets/images/preprocessed_image\N\N334.jpg,13.0
../../../../Datasets/images/preprocessed_image\B\B379.jpg,1.0
../../../../Datasets/images/preprocessed_image\M\M899.jpg,12.0
../../../../Datasets/images/preprocessed_image\F\F679.jpg,5.0
../../../../Datasets/images/preprocessed_image\F\F932.jpg,5.0
../../../../Datasets/images/preprocessed_image\C\C423.jpg,2.0
../../../../Datasets/images/preprocessed_image\I\I173.jpg,8.0
../../../../Datasets/images/preprocessed_image\O\O126.jpg,14.0
../../../../Datasets/images/preprocessed_image\M\M484.jpg,12.0
../../../../Datasets/images/preprocessed_image\T\T221.jpg,19.0
../../../../Datasets/images/preprocessed_image\P\P794.jpg,15.0
../../../../Datasets/images/preprocessed_image\P\P650.jpg,15.0
../../../../Datasets/images/preprocessed_image\X\X747.jpg,23.0
../../../../Datasets/images/preprocessed_image\U\U909.jpg,20.0
../../../../Datasets/images/preprocessed_image\Z\Z212.jpg,25.0
../../../../Datasets/images/preprocessed_image\R\R670.jpg,17.0
../../../../Datasets/images/preprocessed_image\R\R772.jpg,17.0
../../../../Datasets/images/preprocessed_image\T\T284.jpg,19.0
../../../../Datasets/images/preprocessed_image\O\O450.jpg,14.0
../../../../Datasets/images/preprocessed_image\H\H982.jpg,7.0
../../../../Datasets/images/preprocessed_image\L\L963.jpg,11.0
../../../../Datasets/images/preprocessed_image\K\K144.jpg,10.0
../../../../Datasets/images/preprocessed_image\A\A269.jpg,0.0
../../../../Datasets/images/preprocessed_image\nothing\nothing910.jpg,26.0
../../../../Datasets/images/preprocessed_image\V\V274.jpg,21.0
../../../../Datasets/images/preprocessed_image\N\N977.jpg,13.0
../../../../Datasets/images/preprocessed_image\U\U657.jpg,20.0
../../../../Datasets/images/preprocessed_image\nothing\nothing593.jpg,26.0
../../../../Datasets/images/preprocessed_image\V\V741.jpg,21.0
../../../../Datasets/images/preprocessed_image\M\M554.jpg,12.0
../../../../Datasets/images/preprocessed_image\U\U709.jpg,20.0
../../../../Datasets/images/preprocessed_image\U\U291.jpg,20.0
../../../../Datasets/images/preprocessed_image\Z\Z260.jpg,25.0
../../../../Datasets/images/preprocessed_image\D\D111.jpg,3.0
../../../../Datasets/images/preprocessed_image\Q\Q504.jpg,16.0
../../../../Datasets/images/preprocessed_image\C\C213.jpg,2.0
../../../../Datasets/images/preprocessed_image\Y\Y65.jpg,24.0
../../../../Datasets/images/preprocessed_image\H\H598.jpg,7.0
../../../../Datasets/images/preprocessed_image\T\T444.jpg,19.0
../../../../Datasets/images/preprocessed_image\nothing\nothing823.jpg,26.0
../../../../Datasets/images/preprocessed_image\L\L495.jpg,11.0
../../../../Datasets/images/preprocessed_image\U\U845.jpg,20.0
../../../../Datasets/images/preprocessed_image\T\T983.jpg,19.0
../../../../Datasets/images/preprocessed_image\G\G6.jpg,6.0
../../../../Datasets/images/preprocessed_image\G\G343.jpg,6.0
../../../../Datasets/images/preprocessed_image\P\P598.jpg,15.0
../../../../Datasets/images/preprocessed_image\D\D140.jpg,3.0
../../../../Datasets/images/preprocessed_image\nothing\nothing438.jpg,26.0
../../../../Datasets/images/preprocessed_image\I\I329.jpg,8.0
../../../../Datasets/images/preprocessed_image\S\S667.jpg,18.0
../../../../Datasets/images/preprocessed_image\F\F733.jpg,5.0
../../../../Datasets/images/preprocessed_image\U\U583.jpg,20.0
../../../../Datasets/images/preprocessed_image\M\M153.jpg,12.0
../../../../Datasets/images/preprocessed_image\R\R556.jpg,17.0
../../../../Datasets/images/preprocessed_image\Q\Q973.jpg,16.0
../../../../Datasets/images/preprocessed_image\I\I856.jpg,8.0
../../../../Datasets/images/preprocessed_image\X\X822.jpg,23.0
../../../../Datasets/images/preprocessed_image\D\D658.jpg,3.0
../../../../Datasets/images/preprocessed_image\R\R105.jpg,17.0
../../../../Datasets/images/preprocessed_image\T\T3.jpg,19.0
../../../../Datasets/images/preprocessed_image\N\N992.jpg,13.0
../../../../Datasets/images/preprocessed_image\nothing\nothing26.jpg,26.0
../../../../Datasets/images/preprocessed_image\I\I105.jpg,8.0
../../../../Datasets/images/preprocessed_image\D\D305.jpg,3.0
../../../../Datasets/images/preprocessed_image\A\A601.jpg,0.0
../../../../Datasets/images/preprocessed_image\S\S657.jpg,18.0
../../../../Datasets/images/preprocessed_image\I\I800.jpg,8.0
../../../../Datasets/images/preprocessed_image\Q\Q754.jpg,16.0
../../../../Datasets/images/preprocessed_image\R\R5.jpg,17.0
../../../../Datasets/images/preprocessed_image\O\O788.jpg,14.0
../../../../Datasets/images/preprocessed_image\G\G10.jpg,6.0
../../../../Datasets/images/preprocessed_image\nothing\nothing249.jpg,26.0
../../../../Datasets/images/preprocessed_image\T\T220.jpg,19.0
../../../../Datasets/images/preprocessed_image\K\K837.jpg,10.0
../../../../Datasets/images/preprocessed_image\N\N52.jpg,13.0
../../../../Datasets/images/preprocessed_image\T\T114.jpg,19.0
../../../../Datasets/images/preprocessed_image\E\E980.jpg,4.0
../../../../Datasets/images/preprocessed_image\R\R131.jpg,17.0
../../../../Datasets/images/preprocessed_image\H\H8.jpg,7.0
../../../../Datasets/images/preprocessed_image\V\V843.jpg,21.0
../../../../Datasets/images/preprocessed_image\U\U136.jpg,20.0
../../../../Datasets/images/preprocessed_image\B\B253.jpg,1.0
../../../../Datasets/images/preprocessed_image\E\E551.jpg,4.0
../../../../Datasets/images/preprocessed_image\A\A7.jpg,0.0
../../../../Datasets/images/preprocessed_image\Y\Y949.jpg,24.0
../../../../Datasets/images/preprocessed_image\I\I588.jpg,8.0
../../../../Datasets/images/preprocessed_image\W\W665.jpg,22.0
../../../../Datasets/images/preprocessed_image\T\T116.jpg,19.0
../../../../Datasets/images/preprocessed_image\nothing\nothing793.jpg,26.0
../../../../Datasets/images/preprocessed_image\B\B941.jpg,1.0
../../../../Datasets/images/preprocessed_image\R\R863.jpg,17.0
../../../../Datasets/images/preprocessed_image\C\C183.jpg,2.0
../../../../Datasets/images/preprocessed_image\K\K414.jpg,10.0
../../../../Datasets/images/preprocessed_image\J\J863.jpg,9.0
../../../../Datasets/images/preprocessed_image\V\V943.jpg,21.0
../../../../Datasets/images/preprocessed_image\G\G279.jpg,6.0
../../../../Datasets/images/preprocessed_image\B\B508.jpg,1.0
../../../../Datasets/images/preprocessed_image\D\D295.jpg,3.0
../../../../Datasets/images/preprocessed_image\K\K511.jpg,10.0
../../../../Datasets/images/preprocessed_image\J\J146.jpg,9.0
../../../../Datasets/images/preprocessed_image\M\M732.jpg,12.0
../../../../Datasets/images/preprocessed_image\U\U310.jpg,20.0
../../../../Datasets/images/preprocessed_image\V\V695.jpg,21.0
../../../../Datasets/images/preprocessed_image\S\S663.jpg,18.0
../../../../Datasets/images/preprocessed_image\U\U495.jpg,20.0
../../../../Datasets/images/preprocessed_image\U\U249.jpg,20.0
../../../../Datasets/images/preprocessed_image\N\N338.jpg,13.0
../../../../Datasets/images/preprocessed_image\O\O668.jpg,14.0
../../../../Datasets/images/preprocessed_image\Q\Q329.jpg,16.0
../../../../Datasets/images/preprocessed_image\I\I841.jpg,8.0
../../../../Datasets/images/preprocessed_image\N\N683.jpg,13.0
../../../../Datasets/images/preprocessed_image\W\W439.jpg,22.0
../../../../Datasets/images/preprocessed_image\L\L540.jpg,11.0
../../../../Datasets/images/preprocessed_image\E\E180.jpg,4.0
../../../../Datasets/images/preprocessed_image\L\L671.jpg,11.0
../../../../Datasets/images/preprocessed_image\M\M403.jpg,12.0
../../../../Datasets/images/preprocessed_image\M\M400.jpg,12.0
../../../../Datasets/images/preprocessed_image\N\N218.jpg,13.0
../../../../Datasets/images/preprocessed_image\W\W237.jpg,22.0
../../../../Datasets/images/preprocessed_image\N\N185.jpg,13.0
../../../../Datasets/images/preprocessed_image\X\X605.jpg,23.0
../../../../Datasets/images/preprocessed_image\K\K629.jpg,10.0
../../../../Datasets/images/preprocessed_image\P\P949.jpg,15.0
../../../../Datasets/images/preprocessed_image\L\L769.jpg,11.0
../../../../Datasets/images/preprocessed_image\nothing\nothing615.jpg,26.0
../../../../Datasets/images/preprocessed_image\B\B754.jpg,1.0
../../../../Datasets/images/preprocessed_image\P\P425.jpg,15.0
../../../../Datasets/images/preprocessed_image\O\O693.jpg,14.0
../../../../Datasets/images/preprocessed_image\O\O591.jpg,14.0
../../../../Datasets/images/preprocessed_image\E\E435.jpg,4.0
../../../../Datasets/images/preprocessed_image\Y\Y167.jpg,24.0
../../../../Datasets/images/preprocessed_image\D\D844.jpg,3.0
../../../../Datasets/images/preprocessed_image\C\C332.jpg,2.0
../../../../Datasets/images/preprocessed_image\K\K994.jpg,10.0
../../../../Datasets/images/preprocessed_image\U\U405.jpg,20.0
../../../../Datasets/images/preprocessed_image\S\S42.jpg,18.0
../../../../Datasets/images/preprocessed_image\E\E14.jpg,4.0
../../../../Datasets/images/preprocessed_image\L\L436.jpg,11.0
../../../../Datasets/images/preprocessed_image\D\D990.jpg,3.0
../../../../Datasets/images/preprocessed_image\J\J377.jpg,9.0
../../../../Datasets/images/preprocessed_image\C\C14.jpg,2.0
../../../../Datasets/images/preprocessed_image\F\F952.jpg,5.0
../../../../Datasets/images/preprocessed_image\J\J814.jpg,9.0
../../../../Datasets/images/preprocessed_image\X\X466.jpg,23.0
../../../../Datasets/images/preprocessed_image\B\B451.jpg,1.0
../../../../Datasets/images/preprocessed_image\N\N535.jpg,13.0
../../../../Datasets/images/preprocessed_image\N\N106.jpg,13.0
../../../../Datasets/images/preprocessed_image\C\C486.jpg,2.0
../../../../Datasets/images/preprocessed_image\Z\Z971.jpg,25.0
../../../../Datasets/images/preprocessed_image\V\V386.jpg,21.0
../../../../Datasets/images/preprocessed_image\X\X650.jpg,23.0
../../../../Datasets/images/preprocessed_image\Z\Z949.jpg,25.0
../../../../Datasets/images/preprocessed_image\K\K858.jpg,10.0
../../../../Datasets/images/preprocessed_image\B\B197.jpg,1.0
../../../../Datasets/images/preprocessed_image\P\P579.jpg,15.0
../../../../Datasets/images/preprocessed_image\C\C361.jpg,2.0
../../../../Datasets/images/preprocessed_image\W\W710.jpg,22.0
../../../../Datasets/images/preprocessed_image\Q\Q906.jpg,16.0
../../../../Datasets/images/preprocessed_image\M\M696.jpg,12.0
../../../../Datasets/images/preprocessed_image\nothing\nothing468.jpg,26.0
../../../../Datasets/images/preprocessed_image\Z\Z753.jpg,25.0
../../../../Datasets/images/preprocessed_image\C\C766.jpg,2.0
../../../../Datasets/images/preprocessed_image\R\R649.jpg,17.0
../../../../Datasets/images/preprocessed_image\W\W551.jpg,22.0
../../../../Datasets/images/preprocessed_image\O\O771.jpg,14.0
../../../../Datasets/images/preprocessed_image\Y\Y969.jpg,24.0
../../../../Datasets/images/preprocessed_image\A\A954.jpg,0.0
../../../../Datasets/images/preprocessed_image\K\K423.jpg,10.0
../../../../Datasets/images/preprocessed_image\B\B743.jpg,1.0
../../../../Datasets/images/preprocessed_image\C\C595.jpg,2.0
../../../../Datasets/images/preprocessed_image\Q\Q74.jpg,16.0
../../../../Datasets/images/preprocessed_image\M\M823.jpg,12.0
../../../../Datasets/images/preprocessed_image\O\O500.jpg,14.0
../../../../Datasets/images/preprocessed_image\G\G437.jpg,6.0
../../../../Datasets/images/preprocessed_image\A\A410.jpg,0.0
../../../../Datasets/images/preprocessed_image\M\M631.jpg,12.0
../../../../Datasets/images/preprocessed_image\X\X549.jpg,23.0
../../../../Datasets/images/preprocessed_image\C\C898.jpg,2.0
../../../../Datasets/images/preprocessed_image\H\H181.jpg,7.0
../../../../Datasets/images/preprocessed_image\W\W18.jpg,22.0
../../../../Datasets/images/preprocessed_image\G\G482.jpg,6.0
../../../../Datasets/images/preprocessed_image\I\I908.jpg,8.0
../../../../Datasets/images/preprocessed_image\B\B900.jpg,1.0
../../../../Datasets/images/preprocessed_image\E\E939.jpg,4.0
../../../../Datasets/images/preprocessed_image\A\A163.jpg,0.0
../../../../Datasets/images/preprocessed_image\M\M11.jpg,12.0
../../../../Datasets/images/preprocessed_image\K\K911.jpg,10.0
../../../../Datasets/images/preprocessed_image\E\E707.jpg,4.0
../../../../Datasets/images/preprocessed_image\T\T366.jpg,19.0
../../../../Datasets/images/preprocessed_image\D\D337.jpg,3.0
../../../../Datasets/images/preprocessed_image\F\F770.jpg,5.0
../../../../Datasets/images/preprocessed_image\V\V247.jpg,21.0
../../../../Datasets/images/preprocessed_image\A\A879.jpg,0.0
../../../../Datasets/images/preprocessed_image\B\B123.jpg,1.0
../../../../Datasets/images/preprocessed_image\Y\Y669.jpg,24.0
../../../../Datasets/images/preprocessed_image\P\P67.jpg,15.0
../../../../Datasets/images/preprocessed_image\L\L824.jpg,11.0
../../../../Datasets/images/preprocessed_image\R\R542.jpg,17.0
../../../../Datasets/images/preprocessed_image\F\F125.jpg,5.0
../../../../Datasets/images/preprocessed_image\A\A641.jpg,0.0
../../../../Datasets/images/preprocessed_image\V\V287.jpg,21.0
../../../../Datasets/images/preprocessed_image\I\I515.jpg,8.0
../../../../Datasets/images/preprocessed_image\P\P716.jpg,15.0
../../../../Datasets/images/preprocessed_image\K\K995.jpg,10.0
../../../../Datasets/images/preprocessed_image\K\K305.jpg,10.0
../../../../Datasets/images/preprocessed_image\C\C325.jpg,2.0
../../../../Datasets/images/preprocessed_image\T\T624.jpg,19.0
../../../../Datasets/images/preprocessed_image\W\W772.jpg,22.0
../../../../Datasets/images/preprocessed_image\I\I614.jpg,8.0
../../../../Datasets/images/preprocessed_image\U\U208.jpg,20.0
../../../../Datasets/images/preprocessed_image\Q\Q607.jpg,16.0
../../../../Datasets/images/preprocessed_image\W\W950.jpg,22.0
../../../../Datasets/images/preprocessed_image\C\C625.jpg,2.0
../../../../Datasets/images/preprocessed_image\I\I299.jpg,8.0
../../../../Datasets/images/preprocessed_image\S\S358.jpg,18.0
../../../../Datasets/images/preprocessed_image\Q\Q83.jpg,16.0
../../../../Datasets/images/preprocessed_image\H\H502.jpg,7.0
../../../../Datasets/images/preprocessed_image\H\H841.jpg,7.0
../../../../Datasets/images/preprocessed_image\U\U394.jpg,20.0
../../../../Datasets/images/preprocessed_image\F\F50.jpg,5.0
../../../../Datasets/images/preprocessed_image\K\K226.jpg,10.0
../../../../Datasets/images/preprocessed_image\A\A809.jpg,0.0
../../../../Datasets/images/preprocessed_image\E\E987.jpg,4.0
../../../../Datasets/images/preprocessed_image\E\E653.jpg,4.0
../../../../Datasets/images/preprocessed_image\I\I449.jpg,8.0
../../../../Datasets/images/preprocessed_image\R\R984.jpg,17.0
../../../../Datasets/images/preprocessed_image\R\R355.jpg,17.0
../../../../Datasets/images/preprocessed_image\Z\Z741.jpg,25.0
../../../../Datasets/images/preprocessed_image\M\M138.jpg,12.0
../../../../Datasets/images/preprocessed_image\H\H987.jpg,7.0
../../../../Datasets/images/preprocessed_image\Q\Q387.jpg,16.0
../../../../Datasets/images/preprocessed_image\D\D572.jpg,3.0
../../../../Datasets/images/preprocessed_image\K\K161.jpg,10.0
../../../../Datasets/images/preprocessed_image\G\G810.jpg,6.0
../../../../Datasets/images/preprocessed_image\Y\Y595.jpg,24.0
../../../../Datasets/images/preprocessed_image\H\H295.jpg,7.0
../../../../Datasets/images/preprocessed_image\W\W809.jpg,22.0
../../../../Datasets/images/preprocessed_image\K\K573.jpg,10.0
../../../../Datasets/images/preprocessed_image\Y\Y686.jpg,24.0
../../../../Datasets/images/preprocessed_image\W\W222.jpg,22.0
../../../../Datasets/images/preprocessed_image\E\E638.jpg,4.0
../../../../Datasets/images/preprocessed_image\H\H197.jpg,7.0
../../../../Datasets/images/preprocessed_image\V\V691.jpg,21.0
../../../../Datasets/images/preprocessed_image\I\I122.jpg,8.0
../../../../Datasets/images/preprocessed_image\L\L255.jpg,11.0
../../../../Datasets/images/preprocessed_image\U\U117.jpg,20.0
../../../../Datasets/images/preprocessed_image\R\R895.jpg,17.0
../../../../Datasets/images/preprocessed_image\V\V916.jpg,21.0
../../../../Datasets/images/preprocessed_image\J\J906.jpg,9.0
../../../../Datasets/images/preprocessed_image\A\A343.jpg,0.0
../../../../Datasets/images/preprocessed_image\T\T600.jpg,19.0
../../../../Datasets/images/preprocessed_image\L\L739.jpg,11.0
../../../../Datasets/images/preprocessed_image\F\F152.jpg,5.0
../../../../Datasets/images/preprocessed_image\F\F93.jpg,5.0
../../../../Datasets/images/preprocessed_image\E\E408.jpg,4.0
../../../../Datasets/images/preprocessed_image\S\S393.jpg,18.0
../../../../Datasets/images/preprocessed_image\L\L257.jpg,11.0
../../../../Datasets/images/preprocessed_image\H\H964.jpg,7.0
../../../../Datasets/images/preprocessed_image\S\S186.jpg,18.0
../../../../Datasets/images/preprocessed_image\L\L35.jpg,11.0
../../../../Datasets/images/preprocessed_image\T\T466.jpg,19.0
../../../../Datasets/images/preprocessed_image\T\T470.jpg,19.0
../../../../Datasets/images/preprocessed_image\E\E293.jpg,4.0
../../../../Datasets/images/preprocessed_image\B\B2.jpg,1.0
../../../../Datasets/images/preprocessed_image\U\U933.jpg,20.0
../../../../Datasets/images/preprocessed_image\T\T999.jpg,19.0
../../../../Datasets/images/preprocessed_image\L\L770.jpg,11.0
../../../../Datasets/images/preprocessed_image\P\P526.jpg,15.0
../../../../Datasets/images/preprocessed_image\L\L395.jpg,11.0
../../../../Datasets/images/preprocessed_image\Z\Z677.jpg,25.0
../../../../Datasets/images/preprocessed_image\M\M580.jpg,12.0
../../../../Datasets/images/preprocessed_image\A\A602.jpg,0.0
../../../../Datasets/images/preprocessed_image\H\H64.jpg,7.0
../../../../Datasets/images/preprocessed_image\B\B664.jpg,1.0
../../../../Datasets/images/preprocessed_image\V\V773.jpg,21.0
../../../../Datasets/images/preprocessed_image\N\N317.jpg,13.0
../../../../Datasets/images/preprocessed_image\K\K949.jpg,10.0
../../../../Datasets/images/preprocessed_image\Z\Z275.jpg,25.0
../../../../Datasets/images/preprocessed_image\S\S777.jpg,18.0
../../../../Datasets/images/preprocessed_image\Y\Y670.jpg,24.0
../../../../Datasets/images/preprocessed_image\F\F61.jpg,5.0
../../../../Datasets/images/preprocessed_image\O\O859.jpg,14.0
../../../../Datasets/images/preprocessed_image\G\G236.jpg,6.0
../../../../Datasets/images/preprocessed_image\D\D986.jpg,3.0
../../../../Datasets/images/preprocessed_image\K\K267.jpg,10.0
../../../../Datasets/images/preprocessed_image\F\F299.jpg,5.0
../../../../Datasets/images/preprocessed_image\Q\Q829.jpg,16.0
../../../../Datasets/images/preprocessed_image\nothing\nothing356.jpg,26.0
